_id,_labels,dtype,name,pk,published_on,sentiment,text,uri,url,_start,_end,_type
10,:Content-Source,,kayhan.ir,311021677,,,,kayhan.ir,,,,
11,:Article,news,Gargantuan trove of stolen antiquities uncovered during raids in Israel,997212894,2021-01-09T11:06:00Z,-0.2,"Thousands of stolen archaeological artifacts, including gold coins, bronze statues as well as Egyptian sarcophagi, have been retrieved during a coordinated set of raids across the Israeli-occupied territories.

According to a report published by the Haaretz daily newspaper, the archaeological artifacts were recovered earlier this week in a collaborative swoop by the Israel Antiquities Authority (IAA), the Israeli police and the tax authority at three sites after a months-long investigation into the illegal antiquities trade.

The regained finds were apparently looted from graves and sites all around the Mediterranean, the Middle East, Africa and even South America.

The stolen artifacts were hidden in storage rooms in private homes. There were coins from the Seleucid Empire, stone statuettes, red-and-black pottery from Greece and Italy, Roman-era oil lamps, jewelry, Egyptian sarcophagus lids and painted wooden boxes, and a striking green glass vessel decorated with faces among them.

Some of the stolen artifacts were museum-quality, according to the IAA.

Amir Ganor, head of the so-called theft prevention unit at the IAA, told that the Haaretz that investigators have not yet quantified the recovered artifacts.

""We haven't counted them yet. We made lists. It's a gargantuan find - hundreds of coins, pottery from a lot of periods, statues and bronze items, stone items, and glass as well,"" he said.

Ganor highlighted that Israel is famous as a market for antiquities, where the law enables antiquities merchants to obtain a license to sell.

""At the moment, there are 47 licensed antiquities dealers. So, if one has illegal antiquities and slips them into the inventory of a licensed trader, they're effectively whitewashed. Then one can market them around the world under the guise of artifacts legally traded in Israel,"" he said.

None of the detainees were licensed traders, Ganor added, but at least some were in contact with licensed traders.

The report comes as the cultural heritage of Syria and Iraq is suffering collateral damage from years of war and deliberate assaults from Daesh and other foreign-sponsored Takfiri terrorist groups.

Back in April 2019, Washington-based analyst Ahed al-Hendi pointed to the damage Daesh has inflicted on religious and archaeological sites in Syria, saying most of the stolen Christian artifacts were sold outside the war-ravaged Arab country.

""There were businessmen and mafia lords who would pay Daesh and other terrorist groups millions of dollars to buy those stolen relics,"" he said at the time.

Al-Hendi added that at some point during the conflict, the Syria-Turkey border was largely porous, ""which allowed Daesh to smuggle out as many artifacts as they could take from churches in areas under their control.""",6380524609,https://www.presstv.com/Detail/2021/01/09/642614/Gargantuan-trove-of-stolen-antiquities-uncovered-during-raids-in-Israel,,,
12,:Content-Source,,Press TV,119670653,,,,presstv.com,,,,
13,:Article,news,Israel: Stolen artifacts from across the world recovered in raids,745614519,2021-01-09T09:25:00Z,-0.145098039,"Stolen Archaeological artifacts including gold coins, bronze statues and Egyptian sarcophagi have been recovered in Israel as a result of a few raids.

Stolen Archaeological artifacts including gold coins, bronze statues and Egyptian sarcophagi have been recovered in Israel as a result of a few raids. According to the reports by Live Science, the artifacts come from across the Mediterranean, the Middle East, Africa and South Africa. The recovered objects have not been counted as of now, says Amir Ganor, head of the theft prevention unit at the Israel Antiquities Authority.

The artifacts which have been found include coins from the Seleucid Empire, which ruled what is modern-day Israel from 312 B.C. to 63 B.C.. Stones statuettes, red-and-black pottery from Greece and Italy, Roman-era oil lamps, jewellery, Egyptian sarcophagus lids and painted wooden boxes, and a striking green glass vessel decorated with faces have also been found. Wooden masks from Africa were also found. However, the investigators did not take it because they were not sure if they were ancient or new.

Read: Israel Appoints Joyshree Das Verma As Honorary Consul In North-East India

These raids came after a months-long investigation of the illegal antiquities trade. These artifacts were hidden in storage rooms in private homes. According to the Israel Antiquities Authority, some of the stolen artifacts were museum-quality.

Read: Israel Become World's Leading Vaccinator Per Capita

The discovered artifacts have been cleaned and kept together now. However, it is still not clear if the looters from burial sites restored the pottery or whether underground restorers did the work. As of now, three suspects have been arrested. These suspects are dealers and not original thieves. Investigators are further working to determine the origin of the stolen goods.

Read: Israel Excluding Palestinians Colonies From COVID-19 Vaccine Programme: Report

Also Read: As Israel-Morocco Ties Normalise, Jared Kushner Aboard Historic 1st Tel Aviv-Rabat Flight",6380418530,https://www.republicworld.com/world-news/middle-east/israel-stolen-artifacts-from-across-the-world-recovered-in-raids.html,,,
14,:Content-Source,,Republic,155460455,,,,republicworld.com,,,,
15,:Article,news,Raids in Israel uncover 'gargantuan' trove of stolen artifacts,423993992,2021-01-08T16:54:00Z,-0.207843137,"Thousands of stolen archaeological artifacts -- including gold coins, bronze statues and Egyptian sarcophagi -- have been recovered in Israel, thanks to a coordinated set of raids.

The artifacts aren't just from sites in ancient Israel; they come from across the Mediterranean, the Middle East, Africa and even South America. So far, investigators haven't even quantified everything they've recovered.

""We haven't counted them yet,"" Amir Ganor, head of the theft prevention unit at the Israel Antiquities Authority, told Haaretz.

Related: 30 of the most valuable historical treasures that are still missing

Image 1 of 4Image 2 of 4Image 3 of 4Image 4 of 4

The raids at three sites in Israel came after a months-long investigation into the illegal antiquities trade, according to Haaretz. The stolen artifacts were hidden in storage rooms in private homes. The Israeli antiques market is prone to being infiltrated by blackmarket items; according to Ganor, it is one of the few countries around the Mediterranean where dealers can obtain a license to sell antiquities. Unscrupulous thieves and dealers can thus launder stolen artifacts through licensed dealerships, effectively erasing their illegal origins. From there, the stolen items can enter the international antiquities market.

Some of the stolen artifacts were museum-quality, according to the IAA.

""It's a gargantuan find -- hundreds of coins, pottery from a lot of periods, statues and bronze items, stone items, and glass as well,"" Ganor told Haaretz.

Related Content

-- 10 historical treasures that the world lost in the last 100 years

-- The Holy Land: 7 amazing archaeological finds

-- 7 Biblical sites ravaged by modern-day looters

Many of the local artifacts were coins from the Seleucid Empire, which ruled what is modern-day Israel from 312 B.C. to 63 B.C.. There were also stone statuettes, red-and-black pottery from Greece and Italy, Roman-era oil lamps, jewelry, Egyptian sarcophagus lids and painted wooden boxes, and a striking green glass vessel decorated with faces. Also found, but not confiscated, were hundreds of carved wooden masks from Africa. Investigators didn't take these masks because they weren't sure whether they were ancient or newer, Ganor said. The focus of the theft prevention unit is items made before A.D. 1700, he said.

Much of the pottery found had actually been cleaned and pieced together. It's not clear whether the original looters who took the artifacts from burial sites restored the pottery or whether underground restorers did the work. Three suspects were arrested, according to Haaretz, with more arrests expected. However, the suspects were dealers, not the original thieves. Investigators are now working to determine the precise origins of the stolen goods.

Originally published on Live Science.",6379533338,https://www.livescience.com/cache-stolen-artifacts-recovered-israel.html,,,
16,:Content-Source,,LiveScience,356278121,,,,livescience.com,,,,
17,:Author,,Stephanie Pappas,427031775,,,,6379533338,,,,
18,:Article,news,How will US money laundering crackdown actually impact the art market? A lawyer explains,420691053,2021-01-06T16:10:00Z,0.02745098,"Congress is increasing its regulation of antiquities trade and while its powers are limited for now, change will come so the art industry must prepare The new regulations will bring greater scrutiny of dealers in antiquities in the US Photo by Stijn te Strake

On 1 January, the US Senate overrode President Trump's veto of the National Defense Authorization Act for 2021 (NDAA), a bill that (perhaps surprisingly) included rules affecting the art market. Specifically, the new law subjects antiquities dealers to the provisions of the Bank Secrecy Act, requires registration of the ultimate beneficial ownership of limited liability companies, and directs the Financial Crimes Enforcement Network (FinCEN) at the Department of the Treasury to conduct a study of money laundering in the art market. Long considered but only now passed, the bill is a significant step into regulating the US art and antiquities market, though still far less invasive than the European Union's current approach. The new regulations raise questions about the cost benefit balance of compliance, but leave no doubt after last year's Senate report that regulators have the art market in their sights and the market must respond if it wants to have a say in the oversight that is sure to come.

Whatever one thinks of the regulations or the regulators, these things are happening. And while it is questionable whether FinCEN is the right body to conduct a study of the art market, the market has a choice here. We can complain, or we can get involved in the dialogue. I would rather be at the table in the discussion than outside the room. The FinCEN study may not be ideal, but it is an opportunity that responsible actors will ignore at their peril.

The new law

The law amends the Bank Secrecy Act, 31 U.S.C. § 5312(a) to extend to ""dealers in antiquities."" That phrase is not defined, and thus begs the question of who a dealer in antiquities is (and who is not). It does include ""advisors"" to such persons, so it is more expansive than it may first appear. These antiquities dealers are to file what are called ""suspicious activity"" reports, to ensure that potential clients are not among those being sanctioned by the Office of Foreign Asset Control (OFAC), and to report any cash transactions over $10,000.

The law also takes aim at another tool often used to thwart transparency: limited liability companies (LLCs). The role of LLCs is often in the eye of the beholder. Like any capital structure, LLCs are overwhelmingly used for legitimate purposes. Corporations and individuals form LLCs to hold assets, to run discrete lines of business, and to separate unrelated activities. In the United States LLCs are creatures of state law and must be formed in compliance with the rules of the respective Secretaries of State. The person who charters the company is publicly visible but is usually an agent of the company (like a law firm). Who the actual shareholders are is not usually public knowledge. Indeed that is often the point.

there is no question that if you are out to obfuscate, multiple layers of capital structures are an effective way to do so.

This is all perfectly ordinary, and one way I often attach red flags to analysis is the use of ""shell company"" as a pejorative per se. But in fairness, there is no question that if you are out to obfuscate, multiple layers of capital structures are an effective way to do so.

The law will now require the filing of beneficial ownership information with FinCEN. That information would still not be publicly visible on demand, but it would be more easily accessed by law enforcement or other legal proceedings.

Most broadly, the law contains what amounts to handwriting on the wall about what comes next. The bill directs FinCEN to ""perform a study of the facilitation of money laundering and the financing of terrorism through the trade in works of art."" To that end, FinCEN is required to submit a report within a year to Congress addressing, among other things, the extent of money laundering and terrorism financing in the art trade, the need for further regulation, and similar themes.

What comes next

This is where the rubber will hit the road, and there is reason for concern. Last summer's Senate report was rhetorically sweeping, but was actually about one case of two businessmen already on the OFAC sanctions list. The Senate investigators spoke in detail to multiple auction houses and still came away with mostly recycled clichés, but perhaps some degree of removal from specific investigative targets will illustrate the point better. Can we expect better of FinCEN? Not unless those actually involved in the trade speak up. There are too many readily-accessible story lines for regulators to resist, whether it's the same rehashed article about freeports or, as above, complaining about ""shell companies."" And speaking up can have an effect, witness the recent pushback on UNESCO's use of unsourced numbers about the market value of illicit artifacts trade.

The feeling here is that the effect on transparency of the Bank Secrecy extension will be smaller than the cost because the UBO information will be no more knowable to counterparties than it was before. The best approach remains vigilance to a variety of information, including UBO but also the history and risk factors of the object and the counterparty. Accusing the art market of being rife with crime and money laundering is a familiar trope, but the perception is relevant and has clearly influenced policy that will affect the day to day. Whatever an ""antiquities dealer"" is, most are not major auction houses and the sustainability of compliance services or personnel in a year that has crushed the small and medium sized businesses could be severe.

As noted, however, the key point is that the issue is on the policymakers' radar, and across the political spectrum. Change is coming. The question is: what will it be?

Nicholas M. O'Donnell is a partner at Sullivan & Worcester law firm in Boston. This article was first published on the Art Law Report",6376220802,http://www.theartnewspaper.com/comment/how-will-us-money-laundering-crackdown-actually-impact-the-art-market-a-lawyer-explains,,,
19,:Content-Source,,The Art Newspaper,848090777,,,,theartnewspaper.com,,,,
20,:Author,,Nicholas M. O'Donnell,648054389,,,,6376220802,,,,
21,:Article,news,Lawmakers Are Cracking Down on the 'Unregulated' US Art Market. Here's How a New Anti-Money Laundering Law Will Affect Dealers,119216317,2021-01-06T13:32:00Z,0.11372549,"The new regulations target antiquities dealers, but could soon apply across the art market.

The US antiquities trade is going to face far stricter oversight in 2021 than it has in the past.

On January 1, the Senate overrode President Trump's veto of the National Defense Authorization Act for 2021, a bill that includes a new law requiring antiquities dealers to comply with the requirements of the Bank Secrecy Act. That means dealers will now have to adopt anti-money laundering programs designed to root out illegal practices.

One of those requirements involves identifying and registering the so-called ""ultimate beneficial owner"" -- or the true owner of a limited liability company. Now, savvy collectors and investors who rely on offshore entities and shell companies to conceal their true identities when executing art trades, particularly high-value ones, will have a harder time doing so.

The US treasury department is expected to draft regulations on the specific policies that antiquities dealers must implement. Congress has already given the department guidance on which topics to address, including suggesting that the regulations vary by the size of the business, the size of the transaction, the location of the transaction -- and whether the dealer must identify the purchaser when he or she is working through an agent or intermediary.

The new regulations could also extend beyond the antiquities market. This year, the treasury department is expected to complete a study on whether there is evidence of money laundering in the broader art market. The Senate banking committee will then use the findings to determine whether the same anti-money laundering provisions applied to antiquities dealers should apply to all art dealers.

According to one art law attorney, the outcome of that study is ""a foregone conclusion: an alliance of government regulators, class-conscious legislators, and art market critics will seize upon the opportunity to convince the Biden cabinet to regulate the art business,"" says Michael McCullough of the New York firm Pearlstein and McCullough.

Observers in the auction and gallery art markets have been closely following the bill, which comes on the heels of related legal measures taken in the UK.

A representative for Christie's said the auction house ""welcomes the opportunity to work with US regulators on appropriate and enforceable anti-money laundering guidelines.""

The Art Dealers Association of America (ADAA), meanwhile, has been in talks with congressional committees about the bill with the hopes of balancing the burden on those in the trade.

""The ADAA has sought to ensure that any new regulation is adequately supported by data about the scale and scope of any identified problems,"" the organization said in a statement. Its legal and public policy advisors have been working with lawmakers to ""generally introduce them to, and educate them about, the vibrant small businesses that make up the community of art dealers in the United States.""

The most difficult aspect of creating workable anti-money laundering policy, McCullough says, ""is finding the right balance between complying with law and continuing to honor a client's need for discretion and privacy.""

Anti-money laundering programs typically cost thousands of dollars per year to implement, as well as significant time and effort, according to Washington, DC-based attorney Peter Tompa, who represents organizations that lobby for museums and dealers. ""The costs to small and micro business are substantial,"" he says. ""Furthermore, it is impossible to 'fly under the radar screen' of such requirements; such regulations are enforced by the banks which will close accounts that do not comply.""

Many in the industry say they've been expecting stricter legal scrutiny for a while. Last year, a subcommittee in the US Senate issued a strongly worded report on the international art market, calling it the ""largest legal unregulated market in the United States."" That analysis left ""no doubt,"" according to attorney Nicholas O'Donnell, ""that regulators have the art market in their sights and the market must respond if it wants to have a say in the oversight that is sure to come.""",6376012595,https://news.artnet.com/art-world/what-will-stricter-us-oversight-of-the-antiquities-trade-look-like-1935081,,,
22,:Content-Source,,Artnet News,413353529,,,,news.artnet.com,,,,
