subject,relation,object,subject_type,object_type
gci,runs,getty leadership institute,NOUN_CHUNK,NOUN_CHUNK
helicopters,rented to,water,NOUN_CHUNK,NOUN_CHUNK
fire truck,constructed to,access ramp,NOUN_CHUNK,NOUN_CHUNK
true,trained by,getty,NOUN_CHUNK,NOUN_CHUNK
getty,incorporated,collection,NOUN_CHUNK,NOUN_CHUNK
greek prosecution,followed,italian lead,NOUN_CHUNK,NOUN_CHUNK
italy,dropped,civil charges,GPE,NOUN_CHUNK
museum,ignored,obvious signs,NOUN_CHUNK,NOUN_CHUNK
museum label,reads,greek,NOUN_CHUNK,NOUN_CHUNK
true,purchased,advisement,NOUN_CHUNK,NOUN_CHUNK
magazine,featured,celebrities,NOUN_CHUNK,NOUN_CHUNK
areas,included,art,NOUN_CHUNK,NOUN_CHUNK
recipients,included,ralph lauren,NOUN_CHUNK,PERSON
magazine,featured,profiles,NOUN_CHUNK,NOUN_CHUNK
mp units,provide,military bands,NOUN_CHUNK,NOUN_CHUNK
police)—united states air forceeach service,maintains,uniformed civilian police departments,NOUN_CHUNK,NOUN_CHUNK
army,fulfill,number,NOUN_CHUNK,NOUN_CHUNK
mps,enforce,certain limited powers,NOUN_CHUNK,NOUN_CHUNK
egyptian army,maintains,military police corps,NOUN_CHUNK,NOUN_CHUNK
nigerian army,maintains,military police force,NOUN_CHUNK,NOUN_CHUNK
white,peaked,caps,NOUN_CHUNK,NOUN_CHUNK
indian air force provost,wear,arm,NOUN_CHUNK,NOUN_CHUNK
polisi,known,pm,NOUN_CHUNK,NOUN_CHUNK
central provost,maintains,police authority,NOUN_CHUNK,NOUN_CHUNK
mongolian armed forces,maintain,two law enforcement units,NOUN_CHUNK,CARDINAL
internal troops,guards,government installations,NOUN_CHUNK,NOUN_CHUNK
command sub units,included,military police enforcement unit,NOUN_CHUNK,NOUN_CHUNK
forces,maintains,series,NOUN_CHUNK,NOUN_CHUNK
investigations,include,prisoners,NOUN_CHUNK,NOUN_CHUNK
militiathe military police,has,three locations,NOUN_CHUNK,CARDINAL
militiathe military police,fulfill,tasks,NOUN_CHUNK,NOUN_CHUNK
belgian army military police group,performs,military police duties,NOUN_CHUNK,NOUN_CHUNK
alpha detachment,covers,province,NOUN_CHUNK,NOUN_CHUNK
bravo detachment,covers,walloon brabant,NOUN_CHUNK,NOUN_CHUNK
charlie detachment,covers,liège province,NOUN_CHUNK,NOUN_CHUNK
delta detachment,covers,limbourg antwerp province areas,NOUN_CHUNK,NOUN_CHUNK
fact,formed,political,NOUN_CHUNK,NOUN_CHUNK
ministry,issued,recommendations,NOUN_CHUNK,NOUN_CHUNK
bulgaria,set up,world war,GPE,NOUN_CHUNK
ministerial council,issued,decree,NOUN_CHUNK,NOUN_CHUNK
military police,battalion.czech,military police corps,NOUN_CHUNK,NOUN_CHUNK
members,have,civilian profession,NOUN_CHUNK,NOUN_CHUNK
denmark.in,denmark,military police,GPE,NOUN_CHUNK
mp tasks,include,investigation,NOUN_CHUNK,NOUN_CHUNK
estonian mp organization,provide,close protection,NOUN_CHUNK,NOUN_CHUNK
estonian mps,wear,black brassard,NORP,NOUN_CHUNK
estonian mps,wear,black brassard,NORP,NOUN_CHUNK
brigades,have,military police companies,NOUN_CHUNK,NOUN_CHUNK
military police,take,measures,NOUN_CHUNK,NOUN_CHUNK
officers,had,police training,NOUN_CHUNK,NOUN_CHUNK
feldjäger corps,serves,component forces,NOUN_CHUNK,NOUN_CHUNK
intervento,speciale.from,divisione carabinieri,NOUN_CHUNK,NOUN_CHUNK
norwegian mps,have,authority,NORP,NOUN_CHUNK
usually district regiment,has,one or two platoons,NOUN_CHUNK,CARDINAL
norwegian mps,wear,red beret,NORP,NOUN_CHUNK
russian president,approved,official charter,NORP,NOUN_CHUNK
police counter - terrorist battalion.spain.each branch,has,police counter - terrorist battalion.spain.each branch,NOUN_CHUNK,NOUN_CHUNK
police counter - terrorist battalion.spain.each branch,have,jurisdiction,NOUN_CHUNK,NOUN_CHUNK
soviet soviet armed forces,have,units,NOUN_CHUNK,NOUN_CHUNK
two separate agencies,handled,military police duties,CARDINAL,NOUN_CHUNK
mp,maintains,standing tactical team,NOUN_CHUNK,NOUN_CHUNK
royal australian corps,performs,role,NOUN_CHUNK,NOUN_CHUNK
army,wear,red shoulder patch,NOUN_CHUNK,NOUN_CHUNK
air force police,perform,military police role,NOUN_CHUNK,NOUN_CHUNK
new zealand defence force military police,comprises,military police personnel,NOUN_CHUNK,NOUN_CHUNK
sib personnel,attend,courses,NOUN_CHUNK,NOUN_CHUNK
sib,have,similar role,NOUN_CHUNK,NOUN_CHUNK
new defence force military police,seconded to,close protection function,NOUN_CHUNK,NOUN_CHUNK
air,apply,japan air self-defense force,NOUN_CHUNK,GPE
permanent collection,contains,million works,NOUN_CHUNK,NOUN_CHUNK
met,maintains,extensive holdings,NOUN_CHUNK,NOUN_CHUNK
met,maintains,extensive holdings,NOUN_CHUNK,NOUN_CHUNK
highlights,include,set,NOUN_CHUNK,NOUN_CHUNK
wing,exhibits,non - western works,NOUN_CHUNK,NOUN_CHUNK
wing,considered,arts,NOUN_CHUNK,NOUN_CHUNK
pieces,represented in,type,NOUN_CHUNK,NOUN_CHUNK
entire wing,contains,complete ming dynasty style garden court,NOUN_CHUNK,NOUN_CHUNK
visitors,enter,dozens of completely furnished period rooms,NOUN_CHUNK,CARDINAL
collection,includes,entire 16th century patio,NOUN_CHUNK,NOUN_CHUNK
sculptural highlights,include,bernini bacchanal,NOUN_CHUNK,NOUN_CHUNK
new installation,provides,visitors,NOUN_CHUNK,NOUN_CHUNK
new galleries,encompasses,"30,000 square feet",NOUN_CHUNK,QUANTITY
american wing.the museum's collection,contains,pieces,NORP,NOUN_CHUNK
greek roman galleries,contain,large classical wall paintings,NOUN_CHUNK,NOUN_CHUNK
interactive,met,map,NOUN_CHUNK,NOUN_CHUNK
greek roman art department page,provides,department overview,NOUN_CHUNK,NOUN_CHUNK
heilbrunn timeline,provides,a one thousand year overview,NOUN_CHUNK,DATE
islamic metropolitan museum,owns,one of the world's largest collection of works of art of the islamic world,NOUN_CHUNK,CARDINAL
world largest collection,includes,artifacts,NOUN_CHUNK,NOUN_CHUNK
today,contains,"more than 35,000 costumes",NOUN_CHUNK,CARDINAL
costume institute,maintain,permanent installation,NOUN_CHUNK,NOUN_CHUNK
foundation,donated,"2,600 works",NOUN_CHUNK,CARDINAL
paintings,include,masterpieces,NOUN_CHUNK,NOUN_CHUNK
princeton university press,documented,american wing.the museum's collection,NOUN_CHUNK,NORP
medieval art department permanent collection numbers,contains,"about 6,000 separate objects",NOUN_CHUNK,CARDINAL
collection,includes,work,NOUN_CHUNK,NOUN_CHUNK
highlights,include,stradivari violins,NOUN_CHUNK,NOUN_CHUNK
department,gained,permanent gallery,NOUN_CHUNK,NOUN_CHUNK
libraries.each department,requested,library,NOUN_CHUNK,NOUN_CHUNK
watson library collection,contains,"approximately 900,000 volumes",NOUN_CHUNK,NOUN_CHUNK
thomas j. watson library,includes,reference collection,NOUN_CHUNK,NOUN_CHUNK
reference collection,includes,books,NOUN_CHUNK,NOUN_CHUNK
exhibitions,include,displays,NOUN_CHUNK,NOUN_CHUNK
met holdings,outgrew,space,NOUN_CHUNK,NOUN_CHUNK
concerts & lectures program,presented,performers,NOUN_CHUNK,NOUN_CHUNK
robert lehman foundation,donated,"close 3,000 works",NOUN_CHUNK,NOUN_CHUNK
b. gerald cantor roof garden,offers,views,NOUN_CHUNK,NOUN_CHUNK
roof garden,has,views,NOUN_CHUNK,NOUN_CHUNK
notable trustees,include,anna wintour,NOUN_CHUNK,PERSON
impact,impacted,met operations,NOUN_CHUNK,NOUN_CHUNK
met,revised,deaccessioning policy,NOUN_CHUNK,NOUN_CHUNK
excavated city,offered,unique snapshot,NOUN_CHUNK,NOUN_CHUNK
pompeii,covered,total,NOUN_CHUNK,NOUN_CHUNK
greek phoenician sailors,used,location,NOUN_CHUNK,NOUN_CHUNK
wall)unusually,a tufa city wall,greater area,NOUN_CHUNK,NOUN_CHUNK
excavations,shown,presence,NOUN_CHUNK,NOUN_CHUNK
samnites,conquered,greek cumae,NOUN_CHUNK,NOUN_CHUNK
riches,enabled,pompeii,NOUN_CHUNK,NOUN_CHUNK
new buildings,included,amphitheatre,NOUN_CHUNK,NOUN_CHUNK
pliny,covered in,hand account,NOUN_CHUNK,NOUN_CHUNK
volcanologists,recognised,importance,NOUN_CHUNK,NOUN_CHUNK
coins,include,one with a 15th imperatorial acclamation among the emperor's titles,NOUN_CHUNK,CARDINAL
eruptions,covered,remains,NOUN_CHUNK,NOUN_CHUNK
karl weber,directed,scientific excavations,PERSON,NOUN_CHUNK
french,was,naples,NOUN_CHUNK,NOUN_CHUNK
fiorelli,published,periodical,NOUN_CHUNK,NOUN_CHUNK
modern archaeology.excavations,uncovered,portion,NOUN_CHUNK,NOUN_CHUNK
new public buildings,include,amphitheatre,NOUN_CHUNK,NOUN_CHUNK
tyrrhenian sea airflow,provided,hydration,NOUN_CHUNK,NOUN_CHUNK
watson,concluded,nativity,NOUN_CHUNK,NOUN_CHUNK
lawrence,given,evidence,NOUN_CHUNK,NOUN_CHUNK
lawrence,published,thirteen books,NOUN_CHUNK,CARDINAL
1960s 1970s personal life.robert hecht,reached,pre - eminent position,NOUN_CHUNK,NOUN_CHUNK
metropolitan,acquired,euphronios krater,NOUN_CHUNK,NOUN_CHUNK
investigators,discovered,vast collection,NOUN_CHUNK,NOUN_CHUNK
red figure vase painting,replaced,previously dominant style,NOUN_CHUNK,NOUN_CHUNK
attic red figure   vases,exported throughout,market,NOUN_CHUNK,NOUN_CHUNK
study,made,enormous progress,NOUN_CHUNK,NOUN_CHUNK
images,provide,evidence,NOUN_CHUNK,NOUN_CHUNK
new technique,permitted,indication,NOUN_CHUNK,NOUN_CHUNK
new technique,had,disadvantages,NOUN_CHUNK,NOUN_CHUNK
advantages,outnumbered,disadvantages,NOUN_CHUNK,NOUN_CHUNK
depiction,illustrates,development,NOUN_CHUNK,NOUN_CHUNK
attic fine pottery,maintained,dominance,NOUN_CHUNK,NOUN_CHUNK
andokides painter,painted,vases,NOUN_CHUNK,NOUN_CHUNK
important representatives,include,euphronios,NOUN_CHUNK,NOUN_CHUNK
new shapes,include,psykter,NOUN_CHUNK,NOUN_CHUNK
depictions,gained,seriousness,NOUN_CHUNK,NOUN_CHUNK
greek wall painting reflection,constitutes,"one of the few, albeit modest, sources of information on that genre of art",NOUN_CHUNK,CARDINAL
influences,include,newly erected parthenon greek wall painting sculptural decoration,NOUN_CHUNK,NOUN_CHUNK
artists,placed,special emphasis,NOUN_CHUNK,NOUN_CHUNK
notable examples,include,called mannerists,NOUN_CHUNK,NOUN_CHUNK
workshops,continued,developments,NOUN_CHUNK,NOUN_CHUNK
characteristic features,include,transparent garments,NOUN_CHUNK,NOUN_CHUNK
suggestions,include,context,NOUN_CHUNK,NOUN_CHUNK
increasing role,implied,new needs,NOUN_CHUNK,NOUN_CHUNK
artists,contradicted by,earlier style,NOUN_CHUNK,NOUN_CHUNK
added colours,include,blue,NOUN_CHUNK,NOUN_CHUNK
common painted shapes,include,pelike,NOUN_CHUNK,NOUN_CHUNK
potters quarter,contained,variety,NOUN_CHUNK,NOUN_CHUNK
examples,include,douris,NOUN_CHUNK,NOUN_CHUNK
vases,indicate,steady improvement,NOUN_CHUNK,NOUN_CHUNK
export,be,important contribution,NOUN_CHUNK,NOUN_CHUNK
thematic formal dependence,trained,distinctive ornate style,NOUN_CHUNK,NOUN_CHUNK
vases,depict,scenes,NOUN_CHUNK,NOUN_CHUNK
specimens,represent,single source,NOUN_CHUNK,NOUN_CHUNK
apulia,produced,black varnished vases,NOUN_CHUNK,NOUN_CHUNK
campania.campania,produced,red figure vases,NOUN_CHUNK,NOUN_CHUNK
campanian painters,preferred,smaller vessel types,NOUN_CHUNK,NOUN_CHUNK
subjects,include,youths,NOUN_CHUNK,NOUN_CHUNK
later.the av group,had,later.the av group workshop,NOUN_CHUNK,NOUN_CHUNK
later.the av group,favoured,domestic scenes,NOUN_CHUNK,NOUN_CHUNK
lucanian vase painting tradition,began,bc,NOUN_CHUNK,NOUN_CHUNK
parrish painter successors,had,workshop,NOUN_CHUNK,NOUN_CHUNK
cheophoroi painter,showed,scenes,NOUN_CHUNK,NOUN_CHUNK
important representatives,include,dolon painter,NOUN_CHUNK,NOUN_CHUNK
workshop,painted,bell kraters,NOUN_CHUNK,NOUN_CHUNK
characteristics,include,decorations,NOUN_CHUNK,NOUN_CHUNK
asteas,had,major influence,NOUN_CHUNK,NOUN_CHUNK
syracusae,retained,limited typical sicilian style,NOUN_CHUNK,NOUN_CHUNK
important representatives,include,praxias painter,NOUN_CHUNK,NOUN_CHUNK
notable workshops,include,sokra group,NOUN_CHUNK,NOUN_CHUNK
phantom group,painted,cloaked figures,NOUN_CHUNK,NOUN_CHUNK
workshops,dominated,etruscan market,NOUN_CHUNK,NOUN_CHUNK
standard repertoire,included,simply painted oinochoai,NOUN_CHUNK,NOUN_CHUNK
peiresc,owned,number,NOUN_CHUNK,NOUN_CHUNK
sir william hamilton,had,vase collections,NOUN_CHUNK,NOUN_CHUNK
german aesthetic writers,studied,vase paintings,NOUN_CHUNK,NOUN_CHUNK
winckelmann,praised,umrißlinienstil,NOUN_CHUNK,NOUN_CHUNK
paintings,had,influence,NOUN_CHUNK,NOUN_CHUNK
linear style,influenced,artists,NOUN_CHUNK,NOUN_CHUNK
ferdinand waldmüller,painted,life,NOUN_CHUNK,NOUN_CHUNK
john d. beazley,published,john d. beazley conclusions,PERSON,NOUN_CHUNK
illustration,depicts,death,NOUN_CHUNK,NOUN_CHUNK
york times article,euphronios,euphronios krater,NOUN_CHUNK,NOUN_CHUNK
force,has,four sections,NOUN_CHUNK,CARDINAL
force,investigates,clandestine excavations,NOUN_CHUNK,NOUN_CHUNK
2009 137 items,included,statues,DATE,NOUN_CHUNK
sotheby's,acquired,dutch dealership,ORG,NOUN_CHUNK
sotheby's's new york's offices,house,sotheby's wine,ORG,PERSON
sotheby's new york's offices,sold,building,ORG,NOUN_CHUNK
sotheby's,acquired,25 % stake,ORG,NOUN_CHUNK
prominent book auction house,closed,prominent book auction house madison avenue galleries,NOUN_CHUNK,NOUN_CHUNK
sellers,uk museums.valuations.wine advisory servicesprivate salessotheby's links sellers with,public auction,NOUN_CHUNK,NOUN_CHUNK
sotheby's,inaugurated,new gallery space,ORG,NOUN_CHUNK
sotheby's,opened,gallery,ORG,NOUN_CHUNK
sotheby's,launched,sotheby's's own label collection,ORG,ORG
project,took,two years,NOUN_CHUNK,DATE
institute,offers,time accredited master degrees,NOUN_CHUNK,NOUN_CHUNK
sneaker auctions,brought in,large numbers,NOUN_CHUNK,NOUN_CHUNK
2015).sotheby london auction house,outsourced,2015).sotheby london auction house cleaning,NOUN_CHUNK,NOUN_CHUNK
activists,revealed,6.6 % stake,NOUN_CHUNK,NOUN_CHUNK
firm,nominated,executive jessica bibliowicz,NOUN_CHUNK,NOUN_CHUNK
loeb,taken,issue,NOUN_CHUNK,NOUN_CHUNK
loeb,criticized,board members relatively low holdings,NOUN_CHUNK,NOUN_CHUNK
james press,includes,bibliography,NOUN_CHUNK,NOUN_CHUNK
rome,reached,rome greatest territorial expanse,NOUN_CHUNK,NOUN_CHUNK
greek roman art,had,profound impact,NOUN_CHUNK,NOUN_CHUNK
empire,circled,mediterranean,NOUN_CHUNK,NOUN_CHUNK
sulpicius severus,noted,bilingualism,NOUN_CHUNK,NOUN_CHUNK
slaves,had,higher mortality rates,NOUN_CHUNK,NOUN_CHUNK
emperors,filled,vacancies,NOUN_CHUNK,NOUN_CHUNK
italians,made up,less than half the senate,NOUN_CHUNK,CARDINAL
census valuation,qualified,man,NOUN_CHUNK,NOUN_CHUNK
admission,brought,distinction,NOUN_CHUNK,NOUN_CHUNK
plotina,exercised,influence,NOUN_CHUNK,NOUN_CHUNK
emperors,indicated,emperors choice,NOUN_CHUNK,NOUN_CHUNK
disastrous event,reduced,number,NOUN_CHUNK,NOUN_CHUNK
government recordkeeping,included,births,NOUN_CHUNK,NOUN_CHUNK
provincial governors,exploit,local populations,NOUN_CHUNK,NOUN_CHUNK
parts,had,established law codes,NOUN_CHUNK,NOUN_CHUNK
egyptian farmers,register,fields,NORP,NOUN_CHUNK
scale,known for,significant construction industry,NOUN_CHUNK,NOUN_CHUNK
aristocratic values,indicated by,traditional elite society,NOUN_CHUNK,NOUN_CHUNK
standardization,promoted,trade market integration,NOUN_CHUNK,NOUN_CHUNK
high,increased,money supply,NOUN_CHUNK,NOUN_CHUNK
central government,borrow,money,NOUN_CHUNK,NOUN_CHUNK
sudden inflation,damaged,market,NOUN_CHUNK,NOUN_CHUNK
credit market,recovered,credit market,NOUN_CHUNK,NOUN_CHUNK
roman sailing vessels,navigated,mediterranean,NOUN_CHUNK,NOUN_CHUNK
taxes,included,provision,NOUN_CHUNK,NOUN_CHUNK
support staff,included,muleteers,NOUN_CHUNK,NOUN_CHUNK
fullers,had,fullers,NOUN_CHUNK,NOUN_CHUNK
lower classes,be,high standard,NOUN_CHUNK,NOUN_CHUNK
households,captured,about 20%,NOUN_CHUNK,PERCENT
remaining vast majority,produced,more than half,NOUN_CHUNK,CARDINAL
system,facilitated,military policing,NOUN_CHUNK,NOUN_CHUNK
